================ FULL SWEEP START Thu Jun 25 04:03:15 CDT 2026 ================
Sweep on power-transmission 2x2 | device mps | configs [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]

========== config 128x3 ==========
---- baseline 128x3 ----
Trainable parameters: 298,099
Epoch 370 | train 0.005919 | val 0.042846 | lr 1.0e-04
Epoch 380 | train 0.005854 | val 0.042418 | lr 1.0e-04
Epoch 390 | train 0.005401 | val 0.043176 | lr 1.0e-04
Epoch 400 | train 0.005330 | val 0.042569 | lr 1.0e-04
Epoch 410 | train 0.005202 | val 0.042339 | lr 1.0e-04
Epoch 420 | train 0.004798 | val 0.042363 | lr 1.0e-04
Epoch 430 | train 0.004736 | val 0.042077 | lr 1.0e-04
Epoch 440 | train 0.004932 | val 0.042657 | lr 1.0e-04
Epoch 450 | train 0.004208 | val 0.042451 | lr 2.0e-05
Epoch 460 | train 0.004409 | val 0.042294 | lr 2.0e-05
Epoch 470 | train 0.004247 | val 0.042398 | lr 4.0e-06
Epoch 480 | train 0.004182 | val 0.042389 | lr 4.0e-06
Epoch 490 | train 0.004203 | val 0.042473 | lr 8.0e-07

Done in 0.5 min. Best val loss: 0.042077
Saved best checkpoint to: ckpts/sweep_2x2_neigh_256x4.pt
[256x4] baseline test 0.04912 (val 0.05383) | neigh test 0.03988 (val 0.04208)

========== config 512x4 ==========
---- baseline 512x4 ----
Trainable parameters: 1,831,283
Epoch   0 | train 0.709036 | val 0.589917 | lr 1.0e-04
Epoch  10 | train 0.101083 | val 0.121365 | lr 1.0e-04
Epoch  20 | train 0.069726 | val 0.091713 | lr 1.0e-04
Epoch  30 | train 0.055379 | val 0.077017 | lr 1.0e-04
Epoch  40 | train 0.046856 | val 0.069457 | lr 1.0e-04
Epoch  50 | train 0.040511 | val 0.064974 | lr 1.0e-04
Epoch  60 | train 0.034688 | val 0.062326 | lr 1.0e-04
Epoch  70 | train 0.030220 | val 0.061179 | lr 1.0e-04
Epoch  80 | train 0.025736 | val 0.060032 | lr 1.0e-04
Epoch  90 | train 0.022959 | val 0.059744 | lr 1.0e-04
Epoch 100 | train 0.020187 | val 0.059101 | lr 1.0e-04
Epoch 110 | train 0.018651 | val 0.058499 | lr 1.0e-04
Epoch 120 | train 0.016565 | val 0.057849 | lr 1.0e-04
Epoch 130 | train 0.015612 | val 0.057353 | lr 1.0e-04
Epoch 140 | train 0.013839 | val 0.056509 | lr 1.0e-04
Epoch 150 | train 0.012563 | val 0.056009 | lr 1.0e-04
Epoch 160 | train 0.011946 | val 0.055373 | lr 1.0e-04
Epoch 170 | train 0.011260 | val 0.055483 | lr 1.0e-04
Epoch 180 | train 0.010063 | val 0.055493 | lr 1.0e-04
Epoch 190 | train 0.010173 | val 0.055005 | lr 1.0e-04
Epoch 200 | train 0.009048 | val 0.054586 | lr 1.0e-04
Epoch 210 | train 0.008587 | val 0.053779 | lr 1.0e-04
Epoch 220 | train 0.007972 | val 0.053975 | lr 1.0e-04
Epoch 230 | train 0.007429 | val 0.053709 | lr 1.0e-04
Epoch 240 | train 0.006748 | val 0.053974 | lr 1.0e-04
Epoch 250 | train 0.006784 | val 0.053797 | lr 1.0e-04
Epoch 260 | train 0.006334 | val 0.053678 | lr 1.0e-04
Epoch 270 | train 0.005603 | val 0.053910 | lr 2.0e-05
Epoch 280 | train 0.005427 | val 0.053741 | lr 2.0e-05
Epoch 290 | train 0.005731 | val 0.053736 | lr 2.0e-05
Epoch 300 | train 0.005215 | val 0.053642 | lr 2.0e-05
Epoch 310 | train 0.005669 | val 0.053587 | lr 2.0e-05
Epoch 320 | train 0.005515 | val 0.053788 | lr 4.0e-06
Epoch 330 | train 0.005404 | val 0.053669 | lr 4.0e-06
Epoch 340 | train 0.005189 | val 0.053730 | lr 8.0e-07
Epoch 350 | train 0.005269 | val 0.053609 | lr 8.0e-07
Epoch 360 | train 0.005477 | val 0.053955 | lr 1.6e-07
Epoch 370 | train 0.005129 | val 0.053753 | lr 1.6e-07
Epoch 380 | train 0.005245 | val 0.053658 | lr 3.2e-08
Epoch 390 | train 0.005189 | val 0.053738 | lr 6.4e-09
Epoch 400 | train 0.005210 | val 0.053660 | lr 6.4e-09
Epoch 410 | train 0.005087 | val 0.053822 | lr 6.4e-09
Epoch 420 | train 0.005050 | val 0.053572 | lr 6.4e-09
Epoch 430 | train 0.005218 | val 0.053978 | lr 6.4e-09
Epoch 440 | train 0.005787 | val 0.053700 | lr 6.4e-09
Epoch 450 | train 0.005148 | val 0.053912 | lr 6.4e-09
Epoch 460 | train 0.004916 | val 0.053901 | lr 6.4e-09
Epoch 470 | train 0.005434 | val 0.053833 | lr 6.4e-09
Epoch 480 | train 0.005554 | val 0.053610 | lr 6.4e-09
Epoch 490 | train 0.005008 | val 0.053683 | lr 6.4e-09

Done in 0.4 min. Best val loss: 0.053572
Saved best checkpoint to: ckpts/sweep_2x2_baseline_512x4.pt
---- neighbourhood 512x4 ----
Trainable parameters: 1,841,523
Epoch   0 | train 0.596005 | val 0.581669 | lr 1.0e-04
Epoch  10 | train 0.053120 | val 0.060454 | lr 1.0e-04
Epoch  20 | train 0.043336 | val 0.052607 | lr 1.0e-04
Epoch  30 | train 0.036761 | val 0.048373 | lr 1.0e-04
Epoch  40 | train 0.030675 | val 0.046116 | lr 1.0e-04
Epoch  50 | train 0.025218 | val 0.045101 | lr 1.0e-04
Epoch  60 | train 0.020757 | val 0.045034 | lr 1.0e-04
Epoch  70 | train 0.017502 | val 0.044731 | lr 1.0e-04
Epoch  80 | train 0.014229 | val 0.044863 | lr 1.0e-04
Epoch  90 | train 0.012284 | val 0.044240 | lr 1.0e-04
Epoch 100 | train 0.010611 | val 0.043885 | lr 1.0e-04
Epoch 110 | train 0.009720 | val 0.043887 | lr 1.0e-04
Epoch 120 | train 0.008734 | val 0.044289 | lr 1.0e-04
Epoch 130 | train 0.007896 | val 0.044306 | lr 1.0e-04
Epoch 140 | train 0.007267 | val 0.043810 | lr 1.0e-04
Epoch 150 | train 0.007234 | val 0.044219 | lr 1.0e-04
Epoch 160 | train 0.006330 | val 0.043892 | lr 1.0e-04
Epoch 170 | train 0.005865 | val 0.044272 | lr 1.0e-04
Epoch 180 | train 0.005479 | val 0.044954 | lr 1.0e-04
Epoch 190 | train 0.005157 | val 0.044361 | lr 1.0e-04
Epoch 200 | train 0.005262 | val 0.043264 | lr 1.0e-04
Epoch 210 | train 0.004740 | val 0.043191 | lr 1.0e-04
Epoch 220 | train 0.004461 | val 0.044212 | lr 1.0e-04
Epoch 230 | train 0.004660 | val 0.042471 | lr 1.0e-04
Epoch 240 | train 0.003510 | val 0.043883 | lr 2.0e-05
Epoch 250 | train 0.003581 | val 0.043797 | lr 2.0e-05
Epoch 260 | train 0.003583 | val 0.043984 | lr 4.0e-06
Epoch 270 | train 0.003577 | val 0.043874 | lr 8.0e-07
Epoch 280 | train 0.003427 | val 0.043958 | lr 8.0e-07
Epoch 290 | train 0.003616 | val 0.043989 | lr 1.6e-07
Epoch 300 | train 0.003604 | val 0.043905 | lr 3.2e-08
Epoch 310 | train 0.003611 | val 0.043901 | lr 3.2e-08
Epoch 320 | train 0.003606 | val 0.043863 | lr 6.4e-09
Epoch 330 | train 0.003659 | val 0.043864 | lr 6.4e-09
Epoch 340 | train 0.003825 | val 0.043920 | lr 6.4e-09
Epoch 350 | train 0.003429 | val 0.043828 | lr 6.4e-09
Epoch 360 | train 0.003697 | val 0.043937 | lr 6.4e-09
Epoch 370 | train 0.003729 | val 0.043888 | lr 6.4e-09
Epoch 380 | train 0.003670 | val 0.043916 | lr 6.4e-09
Epoch 390 | train 0.003933 | val 0.043939 | lr 6.4e-09
Epoch 400 | train 0.003807 | val 0.043893 | lr 6.4e-09
Epoch 410 | train 0.003687 | val 0.043886 | lr 6.4e-09
Epoch 420 | train 0.003743 | val 0.043904 | lr 6.4e-09
Epoch 430 | train 0.003634 | val 0.043769 | lr 6.4e-09
Epoch 440 | train 0.003460 | val 0.043895 | lr 6.4e-09
Epoch 450 | train 0.003515 | val 0.043945 | lr 6.4e-09
Epoch 460 | train 0.003490 | val 0.043905 | lr 6.4e-09
Epoch 470 | train 0.003360 | val 0.043904 | lr 6.4e-09
Epoch 480 | train 0.003911 | val 0.043870 | lr 6.4e-09
Epoch 490 | train 0.003705 | val 0.043807 | lr 6.4e-09

Done in 0.6 min. Best val loss: 0.042471
Saved best checkpoint to: ckpts/sweep_2x2_neigh_512x4.pt
[512x4] baseline test 0.04988 (val 0.05357) | neigh test 0.03973 (val 0.04247)

========== config 1024x6 ==========
---- baseline 1024x6 ----
Trainable parameters: 7,332,723
Epoch   0 | train 0.613322 | val 0.553496 | lr 1.0e-04
Epoch  10 | train 0.066006 | val 0.091750 | lr 1.0e-04
Epoch  20 | train 0.041829 | val 0.067677 | lr 1.0e-04
Epoch  30 | train 0.029771 | val 0.062828 | lr 1.0e-04
Epoch  40 | train 0.022518 | val 0.059469 | lr 1.0e-04
Epoch  50 | train 0.019258 | val 0.057362 | lr 1.0e-04
Epoch  60 | train 0.015685 | val 0.054497 | lr 1.0e-04
Epoch  70 | train 0.013476 | val 0.054328 | lr 1.0e-04
Epoch  80 | train 0.011670 | val 0.052556 | lr 1.0e-04
Epoch  90 | train 0.010585 | val 0.052678 | lr 1.0e-04
Epoch 100 | train 0.009733 | val 0.051622 | lr 1.0e-04
Epoch 110 | train 0.008161 | val 0.051324 | lr 1.0e-04
Epoch 120 | train 0.007991 | val 0.051242 | lr 1.0e-04
Epoch 130 | train 0.007307 | val 0.050590 | lr 1.0e-04
Epoch 140 | train 0.007078 | val 0.050402 | lr 1.0e-04
Epoch 150 | train 0.005824 | val 0.050219 | lr 1.0e-04
Epoch 160 | train 0.005728 | val 0.049402 | lr 1.0e-04
Epoch 170 | train 0.005386 | val 0.049063 | lr 1.0e-04
Epoch 180 | train 0.005041 | val 0.048322 | lr 1.0e-04
Epoch 190 | train 0.004285 | val 0.048634 | lr 2.0e-05
Epoch 200 | train 0.003895 | val 0.048764 | lr 2.0e-05
Epoch 210 | train 0.003843 | val 0.048709 | lr 2.0e-05
Epoch 220 | train 0.003786 | val 0.048695 | lr 4.0e-06
Epoch 230 | train 0.003726 | val 0.048574 | lr 4.0e-06
Epoch 240 | train 0.004122 | val 0.048828 | lr 4.0e-06
Epoch 250 | train 0.003330 | val 0.048554 | lr 4.0e-06
Epoch 260 | train 0.003878 | val 0.048756 | lr 4.0e-06
Epoch 270 | train 0.003673 | val 0.048711 | lr 8.0e-07
Epoch 280 | train 0.003443 | val 0.048571 | lr 1.6e-07
Epoch 290 | train 0.003525 | val 0.048602 | lr 3.2e-08
Epoch 300 | train 0.003690 | val 0.048718 | lr 6.4e-09
Epoch 310 | train 0.003611 | val 0.048598 | lr 6.4e-09
Epoch 320 | train 0.003633 | val 0.048482 | lr 6.4e-09
Epoch 330 | train 0.003839 | val 0.048676 | lr 6.4e-09
Epoch 340 | train 0.004104 | val 0.048750 | lr 6.4e-09
Epoch 350 | train 0.003759 | val 0.048654 | lr 6.4e-09
Epoch 360 | train 0.003919 | val 0.048684 | lr 6.4e-09
Epoch 370 | train 0.003507 | val 0.048735 | lr 6.4e-09
Epoch 380 | train 0.003545 | val 0.048704 | lr 6.4e-09
Epoch 390 | train 0.003432 | val 0.048715 | lr 6.4e-09
Epoch 400 | train 0.003847 | val 0.048721 | lr 6.4e-09
Epoch 410 | train 0.003658 | val 0.048676 | lr 6.4e-09
Epoch 420 | train 0.003976 | val 0.048783 | lr 6.4e-09
Epoch 430 | train 0.003731 | val 0.048822 | lr 6.4e-09
Epoch 440 | train 0.003509 | val 0.048588 | lr 6.4e-09
Epoch 450 | train 0.003762 | val 0.048800 | lr 6.4e-09
Epoch 460 | train 0.003650 | val 0.048583 | lr 6.4e-09
Epoch 470 | train 0.003548 | val 0.048686 | lr 6.4e-09
Epoch 480 | train 0.003584 | val 0.048672 | lr 6.4e-09
Epoch 490 | train 0.003474 | val 0.048665 | lr 6.4e-09

Done in 0.9 min. Best val loss: 0.048322
Saved best checkpoint to: ckpts/sweep_2x2_baseline_1024x6.pt
---- neighbourhood 1024x6 ----
Trainable parameters: 7,353,203
Epoch   0 | train 0.531907 | val 0.549149 | lr 1.0e-04
Epoch  10 | train 0.035686 | val 0.054275 | lr 1.0e-04
Epoch  20 | train 0.020402 | val 0.051662 | lr 1.0e-04
Epoch  30 | train 0.013394 | val 0.050645 | lr 1.0e-04
Epoch  40 | train 0.009820 | val 0.050098 | lr 1.0e-04
Epoch  50 | train 0.007854 | val 0.049200 | lr 1.0e-04
Epoch  60 | train 0.006209 | val 0.049043 | lr 1.0e-04
Epoch  70 | train 0.005707 | val 0.048049 | lr 1.0e-04
Epoch  80 | train 0.004977 | val 0.046859 | lr 1.0e-04
Epoch  90 | train 0.004656 | val 0.047630 | lr 1.0e-04
Epoch 100 | train 0.004338 | val 0.048017 | lr 1.0e-04
Epoch 110 | train 0.003976 | val 0.047303 | lr 1.0e-04
Epoch 120 | train 0.004006 | val 0.045447 | lr 1.0e-04
Epoch 130 | train 0.002670 | val 0.045909 | lr 2.0e-05
Epoch 140 | train 0.002313 | val 0.046206 | lr 2.0e-05
Epoch 150 | train 0.002762 | val 0.046191 | lr 2.0e-05
Epoch 160 | train 0.002184 | val 0.046260 | lr 4.0e-06
Epoch 170 | train 0.002475 | val 0.046200 | lr 4.0e-06
Epoch 180 | train 0.002219 | val 0.046367 | lr 8.0e-07
Epoch 190 | train 0.002354 | val 0.046250 | lr 1.6e-07
Epoch 200 | train 0.002329 | val 0.046415 | lr 3.2e-08
Epoch 210 | train 0.002489 | val 0.046304 | lr 6.4e-09
Epoch 220 | train 0.002258 | val 0.046268 | lr 6.4e-09
